title,author,first_published,edition
The Secret Language of Birthdays: Personology Profiles for Each Day of the Year,byGary GoldschneiderandGary Goldschneider and Joost Elffers,1992,10 editions
The Summer I Turned Pretty Trilogy,byJenny Han,2009,8 editions
三体,by刘慈欣,2008,37 editions
Fabricante de lágrimas,byErin Doom,2023,1 edition
Dog Man,byDav Pilkey,2015,32 editions
Dog Man,byDav Pilkey,2015,32 editions
The Richest Man in Babylon,byGeorge S. Clason,1983,26 editions
Before the Coffee Gets Cold,byToshikazu Kawaguchi,2019,13 editions
The Perks of Being a Wallflower,byStephen ChboskyandStephen Chbosky,1999,43 editions
The Hitch Hiker's Guide to the Galaxy,byDouglas Adams,1979,116 editions
The Bell Jar,bySylvia Plath,1963,149 editions
A Brief History of Time,byStephen Hawking,1988,115 editions
The Ballad of Songbirds and Snakes,bySuzanne Collins,2020,15 editions
Iron Flame,byRebecca Yarros,2023,2 editions
The Sea of Monsters,byRick Riordan,2005,57 editions
And Then There Were None,byAgatha Christie,1939,182 editions
The Lord of the Rings,byJ.R.R. Tolkien,1954,250 editions
The Da Vinci Code,byDan Brown,2003,195 editions
American Psycho,byBret Easton EllisandMariano Antolín Rato,1991,45 editions
The Secret Garden,"byFrances Hodgson Burnett,Francis Hodgson Burnett,Miller, Steve, andLuisa Uribe",1911,878 editions
All the Light We Cannot See,byAnthony Doerr,2014,65 editions
Holes,byLouis Sachar,1988,81 editions
Workbook for the Mountain Is You,bySmart Reads,2022,1 edition
Wonder,byR. J. Palacio,2001,55 editions
Caraval,byStephanie GarberandJaime Valero Martínez,2000,22 editions
The Catcher in the Rye,byJ. D. Salinger,1900,130 editions
The Old Man and the Sea,byErnest Hemingway,1952,224 editions
Analisis laporan keuangan,byKasmir,2012,2 editions
Guess How Much I Love You,bySam McBratneyandAnita Jeram,1839,129 editions
Wildfire,byHannah Grace,2023,4 editions
Great Expectations,byCharles Dickens,1861,1469 editions
The Secret History,byDonna Tartt,1992,49 editions
The fellowship of the ring,byJ.R.R. Tolkien,1954,296 editions
É assim que começa,byColleen Hoover,2022,1 edition
November 9,byColleen Hoover,2015,8 editions
Me Before You,byJojo MoyesandVarious,2012,37 editions
The Titan's Curse,byRick Riordan,2007,48 editions
A Tale of Two Cities,"byCharles Dickens,Aedi Abraham,leonardo pablo federico sanchez alonso,federico alonso,monica alonso,Juan Ramon Torregrosa,Francisco Manuel GRANADO CASTRO,Hablot K. BROWNE,Fred BARNARD, and14 others",1800,2059 editions
Six of Crows,byLeigh Bardugo,2001,33 editions
The Hate U Give,byAngie Thomas,2017,52 editions
Marketing Management,byPhilip KotlerandKevin Lane Keller,2016,1 edition
Why Men Love Bitches,bySherry Argov,2022,2 editions
Divergent,byVeronica Roth,2010,45 editions
As Good As Dead,byHolly Jackson,2021,12 editions
The hidden hindu,byAkshat GuptaandAkshat Gupta,2021,3 editions
